"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"GEX167914","G","Gout","2","23263486.0","Homo sapiens","GWAS Catalog","126"
"GEX000758","G","gout","18","null","Homo sapiens","GAD","2.93"
