"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"MAX002070","A","Top 100 probe sets contrubuting to the negative side of the 1st principal component; predominantly associated with synovial sarcoma and myxoid/round cell liposarcoma samples.","72","null","Homo sapiens","MSigDB","7.25"
"GAX000705","A","Endothelial cell in embryo's normal cell","3","27383781","Mus musculus","CellMarker","0.00"
