Algorithm,p_within,p_between,ARI,NMI
louvain,0.1,0.1,-0.0069663921655909195,0.02281593817623178
louvain,0.2,0.1,0.026885098743267506,0.05323991712839459
louvain,0.2,0.2,0.0012457594127134198,0.01208419614285774
louvain,0.3,0.1,0.25255532288188354,0.374127407697317
louvain,0.3,0.2,0.012755702516392983,0.04837479227502855
louvain,0.3,0.3,-0.006989306581413295,0.012701893047942418
louvain,0.4,0.1,0.3976086090075727,0.6179559799127612
louvain,0.4,0.2,0.22313659359190557,0.3321556805903769
louvain,0.4,0.3,0.04594639587148327,0.10121853269345614
louvain,0.4,0.4,0.0,0.015214259720127656
louvain,0.5,0.1,0.5585594013096352,0.7256959921710429
louvain,0.5,0.2,0.5071989757318279,0.6641815902510092
louvain,0.5,0.3,0.08078718020804049,0.10757153467652425
louvain,0.5,0.4,-0.0069435833849969,0.012193976171957235
louvain,0.5,0.5,0.007112616426756985,0.020167405694087547
louvain,0.6,0.1,1.0,1.0
louvain,0.6,0.2,0.9591599474967185,0.9214693078368068
louvain,0.6,0.3,0.5250218875853616,0.6699220483818934
louvain,0.6,0.4,0.24757396449704142,0.3791251872010411
louvain,0.6,0.5,0.051089711099847945,0.06684302390475966
louvain,0.6,0.6,0.00572294226561185,0.02793113642719607
louvain,0.7,0.1,1.0,1.0
louvain,0.7,0.2,1.0,1.0
louvain,0.7,0.3,0.5050671941357845,0.6635047512952948
louvain,0.7,0.4,0.5324854266030736,0.6206306686663883
louvain,0.7,0.5,0.0889950520389012,0.14458130365059824
louvain,0.7,0.6,0.01605336297943302,0.05660880197663593
louvain,0.7,0.7,-0.004371952244829325,0.014169154668824542
louvain,0.8,0.1,1.0,1.0
louvain,0.8,0.2,0.9591599474967185,0.9214693078368068
louvain,0.8,0.3,0.9591599474967185,0.9214693078368068
louvain,0.8,0.4,0.9591599474967185,0.9214693078368068
louvain,0.8,0.5,0.552312833440816,0.6790092867673752
louvain,0.8,0.6,0.25076194281148334,0.3215503916865177
louvain,0.8,0.7,0.02563927719058984,0.056933654078168486
louvain,0.8,0.8,0.0005703530485370444,0.012244149710940979
louvain,0.9,0.1,1.0,1.0
louvain,0.9,0.2,1.0,1.0
louvain,0.9,0.3,0.9591599474967185,0.9214693078368068
louvain,0.9,0.4,0.9591599474967185,0.9214693078368068
louvain,0.9,0.5,1.0,1.0
louvain,0.9,0.6,0.9193315041157396,0.8661813852927968
louvain,0.9,0.7,0.3331167720977945,0.46518501601406514
louvain,0.9,0.8,0.07206703910614524,0.08833063064441521
louvain,0.9,0.9,0.005027011657662781,0.0434951575689572
louvain,1.0,0.1,1.0,1.0
louvain,1.0,0.2,1.0,1.0
louvain,1.0,0.3,1.0,1.0
louvain,1.0,0.4,1.0,1.0
louvain,1.0,0.5,1.0,1.0
louvain,1.0,0.6,1.0,1.0
louvain,1.0,0.7,0.9193315041157396,0.8661813852927968
louvain,1.0,0.8,0.8804928131416838,0.8197860080952633
