Algorithm,ARI Score,Duration,Sample size,Root0,Root1,Root2
HDBSCAN,0.2441198109946454,0.004647970199584961,60,GO:0051128,GO:0022607,GO:0098662
K-Means,0.578085244888727,0.009732246398925781,58,GO:0051128,GO:0022607,GO:0080135
Agglomerative,0.4973826456169978,0.0017502307891845703,58,GO:0051128,GO:0022607,GO:0080135
DBSCAN,0.0,0.0022122859954833984,58,GO:0051128,GO:0022607,GO:0080135
HDBSCAN,0.0,0.0042572021484375,58,GO:0051128,GO:0022607,GO:0080135
K-Means,0.47034667460199375,0.009748220443725586,52,GO:0051128,GO:0008104,GO:0097435
Agglomerative,0.5074864888810136,0.0016658306121826172,52,GO:0051128,GO:0008104,GO:0097435
DBSCAN,0.0,0.0021543502807617188,52,GO:0051128,GO:0008104,GO:0097435
HDBSCAN,0.4115827129459538,0.003945112228393555,52,GO:0051128,GO:0008104,GO:0097435
K-Means,0.3375525196205375,0.009716987609863281,54,GO:0051128,GO:0008104,GO:1901565
Agglomerative,0.4900097619132256,0.0016868114471435547,54,GO:0051128,GO:0008104,GO:1901565
DBSCAN,0.0,0.0024149417877197266,54,GO:0051128,GO:0008104,GO:1901565
HDBSCAN,0.4161790017211704,0.004663705825805664,54,GO:0051128,GO:0008104,GO:1901565
K-Means,0.5196943349871576,0.009715557098388672,56,GO:0051128,GO:0008104,GO:0098662
Agglomerative,0.5196943349871576,0.0017156600952148438,56,GO:0051128,GO:0008104,GO:0098662
DBSCAN,0.0,0.0023980140686035156,56,GO:0051128,GO:0008104,GO:0098662
HDBSCAN,0.434022611283392,0.004813671112060547,56,GO:0051128,GO:0008104,GO:0098662
K-Means,0.4667209074998683,0.009719610214233398,54,GO:0051128,GO:0008104,GO:0080135
Agglomerative,0.46951294463337684,0.0017023086547851562,54,GO:0051128,GO:0008104,GO:0080135
DBSCAN,0.0,0.002375364303588867,54,GO:0051128,GO:0008104,GO:0080135
HDBSCAN,0.3797532586977895,0.004567146301269531,54,GO:0051128,GO:0008104,GO:0080135
K-Means,0.35941356631409344,0.009735345840454102,58,GO:0051128,GO:0008104,GO:0006996
Agglomerative,0.42385593493835927,0.00174713134765625,58,GO:0051128,GO:0008104,GO:0006996
DBSCAN,0.0,0.00240325927734375,58,GO:0051128,GO:0008104,GO:0006996
HDBSCAN,0.29096173357859917,0.004882335662841797,58,GO:0051128,GO:0008104,GO:0006996
K-Means,0.5416792357968828,0.009702444076538086,43,GO:0051128,GO:0097435,GO:1901565
Agglomerative,0.5636110374104537,0.0015659332275390625,43,GO:0051128,GO:0097435,GO:1901565
DBSCAN,0.0,0.002326488494873047,43,GO:0051128,GO:0097435,GO:1901565
HDBSCAN,0.34464846356499707,0.0038216114044189453,43,GO:0051128,GO:0097435,GO:1901565
K-Means,0.1899966680241383,0.009714603424072266,45,GO:0051128,GO:0097435,GO:0098662
