Algorithm,ARI Score,Duration,Root1,Root2,Sample size
DBSCAN,0.0,0.02214980125427246,GO:0006810,GO:0042391,47
HDBSCAN,0.5672132543975468,0.0038080215454101562,GO:0006810,GO:0042391,47
K-Means,1.0,0.03498125076293945,GO:0006810,GO:0045165,41
Agglomerative,1.0,0.0041391849517822266,GO:0006810,GO:0045165,41
DBSCAN,0.0,0.025089025497436523,GO:0006810,GO:0045165,41
HDBSCAN,0.6266635535839364,0.0018298625946044922,GO:0006810,GO:0045165,41
K-Means,1.0,0.008491039276123047,GO:0006810,GO:0030154,72
Agglomerative,0.9443958971920351,0.0055921077728271484,GO:0006810,GO:0030154,72
DBSCAN,0.0,0.007440805435180664,GO:0006810,GO:0030154,72
HDBSCAN,0.4072062265280575,0.014653921127319336,GO:0006810,GO:0030154,72
K-Means,1.0,0.007866144180297852,GO:0006810,GO:0010035,46
Agglomerative,1.0,0.0012469291687011719,GO:0006810,GO:0010035,46
DBSCAN,0.0,0.06020522117614746,GO:0006810,GO:0010035,46
HDBSCAN,0.5252363830070582,0.00307464599609375,GO:0006810,GO:0010035,46
K-Means,0.9272486772486772,0.011537790298461914,GO:0006810,GO:0010033,55
Agglomerative,1.0,0.007386207580566406,GO:0006810,GO:0010033,55
DBSCAN,0.0,0.010141849517822266,GO:0006810,GO:0010033,55
HDBSCAN,0.6330715639693755,0.00605320930480957,GO:0006810,GO:0010033,55
K-Means,1.0,0.03784489631652832,GO:2000241,GO:0042391,41
Agglomerative,0.8097742035261367,0.0008549690246582031,GO:2000241,GO:0042391,41
DBSCAN,0.0,0.02192091941833496,GO:2000241,GO:0042391,41
HDBSCAN,0.4989576594062253,0.003473043441772461,GO:2000241,GO:0042391,41
K-Means,0.7782233015191732,0.00650334358215332,GO:2000241,GO:0045165,35
Agglomerative,1.0,0.0011477470397949219,GO:2000241,GO:0045165,35
DBSCAN,0.0,0.039376258850097656,GO:2000241,GO:0045165,35
HDBSCAN,0.3019631065574686,0.0025339126586914062,GO:2000241,GO:0045165,35
K-Means,-0.048213695004961955,0.008928060531616211,GO:2000241,GO:0030154,66
Agglomerative,0.8789759503491078,0.001378774642944336,GO:2000241,GO:0030154,66
DBSCAN,0.0,0.04419422149658203,GO:2000241,GO:0030154,66
HDBSCAN,0.19993558595773878,0.015257120132446289,GO:2000241,GO:0030154,66
K-Means,1.0,0.006527900695800781,GO:2000241,GO:0010035,40
Agglomerative,1.0,0.00665593147277832,GO:2000241,GO:0010035,40
DBSCAN,0.0,0.056099891662597656,GO:2000241,GO:0010035,40
HDBSCAN,0.6314286847218367,0.00257110595703125,GO:2000241,GO:0010035,40
K-Means,1.0,0.011895179748535156,GO:2000241,GO:0010033,49
Agglomerative,1.0,0.0012290477752685547,GO:2000241,GO:0010033,49
DBSCAN,0.0,0.04357600212097168,GO:2000241,GO:0010033,49
HDBSCAN,0.6846572626232759,0.003021717071533203,GO:2000241,GO:0010033,49
K-Means,0.9166436064501522,0.017271995544433594,GO:2000241,GO:0051649,48
Agglomerative,0.9166603787821626,0.0021240711212158203,GO:2000241,GO:0051649,48
DBSCAN,0.0,0.06546831130981445,GO:2000241,GO:0051649,48
HDBSCAN,0.06748381245118541,0.0020999908447265625,GO:2000241,GO:0051649,48
K-Means,1.0,0.008289098739624023,GO:0042391,GO:0045165,32
Agglomerative,1.0,0.007699012756347656,GO:0042391,GO:0045165,32
DBSCAN,0.0,0.04237103462219238,GO:0042391,GO:0045165,32
HDBSCAN,0.794501852212907,0.002295255661010742,GO:0042391,GO:0045165,32
K-Means,1.0,0.014867067337036133,GO:0042391,GO:0030154,63
Agglomerative,1.0,0.0034780502319335938,GO:0042391,GO:0030154,63
DBSCAN,0.0,0.018585920333862305,GO:0042391,GO:0030154,63
HDBSCAN,0.634429151779908,0.0033681392669677734,GO:0042391,GO:0030154,63
K-Means,1.0,0.008599042892456055,GO:0042391,GO:0010035,37
Agglomerative,1.0,0.0015110969543457031,GO:0042391,GO:0010035,37
DBSCAN,0.0,0.01181793212890625,GO:0042391,GO:0010035,37
HDBSCAN,0.7885714285714286,0.0016238689422607422,GO:0042391,GO:0010035,37
K-Means,1.0,0.024598121643066406,GO:0042391,GO:0010033,46
Agglomerative,1.0,0.0009276866912841797,GO:0042391,GO:0010033,46
DBSCAN,0.0,0.007683277130126953,GO:0042391,GO:0010033,46
HDBSCAN,0.7723536319409495,0.0019288063049316406,GO:0042391,GO:0010033,46
K-Means,1.0,0.011404991149902344,GO:0042391,GO:0051649,45
Agglomerative,1.0,0.006674766540527344,GO:0042391,GO:0051649,45
DBSCAN,0.0,0.058526039123535156,GO:0042391,GO:0051649,45
HDBSCAN,0.0,0.002009153366088867,GO:0042391,GO:0051649,45
K-Means,1.0,0.01898503303527832,GO:0045165,GO:0010035,31
Agglomerative,1.0,0.0007779598236083984,GO:0045165,GO:0010035,31
DBSCAN,0.0,0.026482820510864258,GO:0045165,GO:0010035,31
HDBSCAN,0.7157069808803913,0.0015339851379394531,GO:0045165,GO:0010035,31
K-Means,1.0,0.011613130569458008,GO:0045165,GO:0010033,40
Agglomerative,1.0,0.0018727779388427734,GO:0045165,GO:0010033,40
DBSCAN,0.0,0.016435861587524414,GO:0045165,GO:0010033,40
HDBSCAN,0.8087710351861295,0.0027980804443359375,GO:0045165,GO:0010033,40
K-Means,0.8962941683424304,0.024608135223388672,GO:0045165,GO:0051649,39
Agglomerative,0.622445117335352,0.001146078109741211,GO:0045165,GO:0051649,39
DBSCAN,0.0,0.023174285888671875,GO:0045165,GO:0051649,39
HDBSCAN,0.16387928618144446,0.0015981197357177734,GO:0045165,GO:0051649,39
K-Means,1.0,0.05689716339111328,GO:0030154,GO:0010035,62
Agglomerative,1.0,0.0011529922485351562,GO:0030154,GO:0010035,62
DBSCAN,0.0,0.021097898483276367,GO:0030154,GO:0010035,62
HDBSCAN,0.6769188780537064,0.0035958290100097656,GO:0030154,GO:0010035,62
K-Means,1.0,0.08065199851989746,GO:0030154,GO:0010033,71
Agglomerative,1.0,0.008407831192016602,GO:0030154,GO:0010033,71
DBSCAN,0.0,0.014514923095703125,GO:0030154,GO:0010033,71
HDBSCAN,0.7487890752491891,0.01213979721069336,GO:0030154,GO:0010033,71
K-Means,0.9426510900371176,0.0150299072265625,GO:0030154,GO:0051649,70
Agglomerative,0.7812950232577286,0.0011200904846191406,GO:0030154,GO:0051649,70
DBSCAN,0.0,0.02221822738647461,GO:0030154,GO:0051649,70
HDBSCAN,0.29347229840921557,0.003523111343383789,GO:0030154,GO:0051649,70
K-Means,0.909094972266793,0.04603409767150879,GO:0010035,GO:0051649,44
Agglomerative,1.0,0.0025892257690429688,GO:0010035,GO:0051649,44
DBSCAN,0.0,0.0223691463470459,GO:0010035,GO:0051649,44
HDBSCAN,0.4832076489816669,0.0026540756225585938,GO:0010035,GO:0051649,44
K-Means,0.9245055607297431,0.016049861907958984,GO:0010033,GO:0051649,53
Agglomerative,1.0,0.0011777877807617188,GO:0010033,GO:0051649,53
DBSCAN,0.0,0.04868197441101074,GO:0010033,GO:0051649,53
HDBSCAN,0.5910201839901139,0.003710031509399414,GO:0010033,GO:0051649,53
K-Means,1.0,0.027305126190185547,GO:0010468,GO:0031328,35
Agglomerative,0.6775067750677507,0.002008199691772461,GO:0010468,GO:0031328,35
DBSCAN,0.0,0.026825904846191406,GO:0010468,GO:0031328,35
HDBSCAN,0.0,0.0014548301696777344,GO:0010468,GO:0031328,35
K-Means,1.0,0.010075807571411133,GO:0010468,GO:0018205,30
Agglomerative,0.7423857868020305,0.0006148815155029297,GO:0010468,GO:0018205,30
DBSCAN,0.0,0.051275014877319336,GO:0010468,GO:0018205,30
HDBSCAN,0.8054934525710635,0.001344919204711914,GO:0010468,GO:0018205,30
K-Means,-0.011419249592169658,0.05109882354736328,GO:0010468,GO:0051054,31
Agglomerative,1.0,0.005936861038208008,GO:0010468,GO:0051054,31
DBSCAN,0.0,0.010023832321166992,GO:0010468,GO:0051054,31
HDBSCAN,0.0,0.0019409656524658203,GO:0010468,GO:0051054,31
K-Means,1.0,0.020609140396118164,GO:0031328,GO:0018205,35
Agglomerative,1.0,0.0008978843688964844,GO:0031328,GO:0018205,35
DBSCAN,0.0,0.011075973510742188,GO:0031328,GO:0018205,35
HDBSCAN,0.9125346299542036,0.0032110214233398438,GO:0031328,GO:0018205,35
K-Means,0.8888440792458537,0.005964040756225586,GO:0031328,GO:0051054,36
Agglomerative,0.8888440792458537,0.0006306171417236328,GO:0031328,GO:0051054,36
DBSCAN,0.0,0.06294393539428711,GO:0031328,GO:0051054,36
HDBSCAN,0.0,0.0015101432800292969,GO:0031328,GO:0051054,36
K-Means,0.7504857063558146,0.010127782821655273,GO:0018205,GO:0051054,31
Agglomerative,1.0,0.004620075225830078,GO:0018205,GO:0051054,31
DBSCAN,0.0,0.012936830520629883,GO:0018205,GO:0051054,31
HDBSCAN,0.8876498466685252,0.0026895999908447266,GO:0018205,GO:0051054,31
K-Means,1.0,0.008002758026123047,GO:0019752,GO:0044089,32
Agglomerative,1.0,0.0015940666198730469,GO:0019752,GO:0044089,32
DBSCAN,0.0,0.010872125625610352,GO:0019752,GO:0044089,32
HDBSCAN,0.8706649282920469,0.005651950836181641,GO:0019752,GO:0044089,32
K-Means,1.0,0.016005992889404297,GO:0019752,GO:0019216,30
Agglomerative,1.0,0.0017130374908447266,GO:0019752,GO:0019216,30
DBSCAN,0.0,0.03965902328491211,GO:0019752,GO:0019216,30
HDBSCAN,0.6697038724373576,0.0018198490142822266,GO:0019752,GO:0019216,30
K-Means,1.0,0.010684967041015625,GO:0019752,GO:0050804,35
Agglomerative,1.0,0.0026857852935791016,GO:0019752,GO:0050804,35
DBSCAN,0.0,0.013545989990234375,GO:0019752,GO:0050804,35
HDBSCAN,0.8920169687620517,0.0015370845794677734,GO:0019752,GO:0050804,35
K-Means,1.0,0.060791969299316406,GO:0044089,GO:0019216,26
Agglomerative,1.0,0.0006840229034423828,GO:0044089,GO:0019216,26
DBSCAN,0.0,0.040640830993652344,GO:0044089,GO:0019216,26
HDBSCAN,0.0,0.001093149185180664,GO:0044089,GO:0019216,26
K-Means,1.0,0.03461599349975586,GO:0044089,GO:0050804,31
Agglomerative,1.0,0.0011560916900634766,GO:0044089,GO:0050804,31
DBSCAN,0.0,0.01565384864807129,GO:0044089,GO:0050804,31
HDBSCAN,0.0,0.002210855484008789,GO:0044089,GO:0050804,31
K-Means,1.0,0.045506954193115234,GO:0019216,GO:0050804,29
Agglomerative,1.0,0.0012333393096923828,GO:0019216,GO:0050804,29
DBSCAN,0.0,0.008278131484985352,GO:0019216,GO:0050804,29
HDBSCAN,0.9211497378131676,0.001332998275756836,GO:0019216,GO:0050804,29
