p_within,p_between,node,connection
0.1,0.1,0.0,0.07142857142857142
0.1,0.1,1.0,0.16363636363636364
0.1,0.1,2.0,0.12380952380952381
0.1,0.1,3.0,0.05555555555555555
0.1,0.1,4.0,0.21428571428571427
0.1,0.1,5.0,0.16666666666666666
0.1,0.1,6.0,0.19696969696969696
0.1,0.1,7.0,0.09090909090909091
0.1,0.1,8.0,0.027777777777777776
0.1,0.1,9.0,0.3333333333333333
0.1,0.1,10.0,0.06060606060606061
0.1,0.1,11.0,0.06666666666666667
0.1,0.1,12.0,0.08333333333333333
0.1,0.1,13.0,0.13636363636363635
0.1,0.1,14.0,0.2
0.1,0.1,15.0,0.12121212121212122
0.1,0.1,16.0,0.0
0.1,0.1,17.0,0.13333333333333333
0.1,0.1,18.0,0.09523809523809523
0.1,0.1,19.0,0.047619047619047616
0.1,0.1,20.0,0.07575757575757576
0.1,0.1,21.0,0.03571428571428571
0.1,0.1,22.0,0.17777777777777778
0.1,0.1,23.0,0.1111111111111111
0.1,0.1,24.0,0.16666666666666666
0.1,0.1,25.0,0.075
0.1,0.1,26.0,0.10606060606060606
0.1,0.1,27.0,0.09090909090909091
0.1,0.1,28.0,0.09523809523809523
0.1,0.1,29.0,0.08888888888888889
0.1,0.1,30.0,0.10606060606060606
0.1,0.1,31.0,0.1794871794871795
0.1,0.1,32.0,0.0641025641025641
0.1,0.1,33.0,0.09090909090909091
0.1,0.1,34.0,0.09090909090909091
0.1,0.1,35.0,0.07692307692307693
0.1,0.1,36.0,0.05454545454545454
0.1,0.1,37.0,0.09523809523809523
0.1,0.1,38.0,0.15555555555555556
0.1,0.1,39.0,0.17857142857142858
0.1,0.1,40.0,0.10606060606060606
0.1,0.1,41.0,0.045454545454545456
0.1,0.1,42.0,0.09090909090909091
0.1,0.1,43.0,0.1111111111111111
0.1,0.1,44.0,0.12727272727272726
0.1,0.1,45.0,0.12121212121212122
0.1,0.1,46.0,0.10476190476190476
0.1,0.1,47.0,0.13636363636363635
0.1,0.1,48.0,0.12727272727272726
0.1,0.1,49.0,0.05555555555555555
0.1,0.1,50.0,0.13333333333333333
0.1,0.1,51.0,0.05555555555555555
0.1,0.1,52.0,0.1388888888888889
0.1,0.1,53.0,0.06666666666666667
0.1,0.1,54.0,0.047619047619047616
0.1,0.1,55.0,0.13333333333333333
0.1,0.1,56.0,0.0989010989010989
0.1,0.1,57.0,0.05555555555555555
0.1,0.1,58.0,0.13636363636363635
0.1,0.1,59.0,0.09523809523809523
0.1,0.1,60.0,0.07142857142857142
0.1,0.1,61.0,0.07575757575757576
0.1,0.1,62.0,0.10909090909090909
0.1,0.1,63.0,0.15555555555555556
0.1,0.1,64.0,0.1388888888888889
0.1,0.1,65.0,0.1111111111111111
0.1,0.1,66.0,0.15151515151515152
0.1,0.1,67.0,0.10989010989010989
0.1,0.1,68.0,0.05454545454545454
0.1,0.1,69.0,0.2
0.1,0.1,70.0,0.14545454545454545
0.1,0.1,71.0,0.19047619047619047
0.1,0.1,72.0,0.1437908496732026
0.1,0.1,73.0,0.11538461538461539
0.1,0.1,74.0,0.09523809523809523
0.1,0.1,75.0,0.16363636363636364
0.1,0.1,76.0,0.0
0.1,0.1,77.0,0.13157894736842105
0.1,0.1,78.0,0.1111111111111111
0.1,0.1,79.0,0.10714285714285714
0.1,0.1,80.0,0.1111111111111111
0.1,0.1,81.0,0.09090909090909091
0.1,0.1,82.0,0.13333333333333333
0.1,0.1,83.0,0.05555555555555555
0.1,0.1,84.0,0.06666666666666667
0.1,0.1,85.0,0.0
0.1,0.1,86.0,0.0989010989010989
0.1,0.1,87.0,0.1111111111111111
0.1,0.1,88.0,0.12121212121212122
0.1,0.1,89.0,0.08888888888888889
0.1,0.1,90.0,0.10476190476190476
0.1,0.1,91.0,0.044444444444444446
0.1,0.1,92.0,0.3333333333333333
0.1,0.1,93.0,0.23809523809523808
0.1,0.1,94.0,0.26666666666666666
0.1,0.1,95.0,0.08571428571428572
0.1,0.1,96.0,0.3
0.1,0.1,97.0,0.13333333333333333
0.1,0.1,98.0,0.045454545454545456
0.1,0.1,99.0,0.07142857142857142
0.2,0.1,0.0,0.09803921568627451
0.2,0.1,1.0,0.18421052631578946
0.2,0.1,2.0,0.16017316017316016
0.2,0.1,3.0,0.0989010989010989
0.2,0.1,4.0,0.17647058823529413
0.2,0.1,5.0,0.19444444444444445
0.2,0.1,6.0,0.1976284584980237
0.2,0.1,7.0,0.16666666666666666
0.2,0.1,8.0,0.10256410256410256
0.2,0.1,9.0,0.24166666666666667
0.2,0.1,10.0,0.19473684210526315
0.2,0.1,11.0,0.14035087719298245
0.2,0.1,12.0,0.15384615384615385
0.2,0.1,13.0,0.15714285714285714
0.2,0.1,14.0,0.19047619047619047
0.2,0.1,15.0,0.16911764705882354
0.2,0.1,16.0,0.15555555555555556
0.2,0.1,17.0,0.11666666666666667
0.2,0.1,18.0,0.22727272727272727
0.2,0.1,19.0,0.0761904761904762
0.2,0.1,20.0,0.17647058823529413
0.2,0.1,21.0,0.17582417582417584
0.2,0.1,22.0,0.20915032679738563
0.2,0.1,23.0,0.20588235294117646
0.2,0.1,24.0,0.21323529411764705
0.2,0.1,25.0,0.1976284584980237
0.2,0.1,26.0,0.2
0.2,0.1,27.0,0.19473684210526315
0.2,0.1,28.0,0.16666666666666666
0.2,0.1,29.0,0.18681318681318682
0.2,0.1,30.0,0.2222222222222222
0.2,0.1,31.0,0.24183006535947713
0.2,0.1,32.0,0.1523809523809524
0.2,0.1,33.0,0.13450292397660818
0.2,0.1,34.0,0.10294117647058823
0.2,0.1,35.0,0.10833333333333334
0.2,0.1,36.0,0.1568627450980392
0.2,0.1,37.0,0.13333333333333333
0.2,0.1,38.0,0.16176470588235295
0.2,0.1,39.0,0.24358974358974358
0.2,0.1,40.0,0.2
0.2,0.1,41.0,0.11666666666666667
0.2,0.1,42.0,0.1111111111111111
0.2,0.1,43.0,0.20833333333333334
0.2,0.1,44.0,0.21645021645021645
0.2,0.1,45.0,0.19607843137254902
0.2,0.1,46.0,0.19047619047619047
0.2,0.1,47.0,0.1895424836601307
0.2,0.1,48.0,0.19607843137254902
0.2,0.1,49.0,0.11428571428571428
0.2,0.1,50.0,0.18095238095238095
0.2,0.1,51.0,0.10909090909090909
0.2,0.1,52.0,0.2545454545454545
0.2,0.1,53.0,0.2
0.2,0.1,54.0,0.25274725274725274
0.2,0.1,55.0,0.15151515151515152
0.2,0.1,56.0,0.2
0.2,0.1,57.0,0.14035087719298245
0.2,0.1,58.0,0.1956521739130435
0.2,0.1,59.0,0.18181818181818182
0.2,0.1,60.0,0.12380952380952381
0.2,0.1,61.0,0.13970588235294118
0.2,0.1,62.0,0.17142857142857143
0.2,0.1,63.0,0.19852941176470587
0.2,0.1,64.0,0.13333333333333333
0.2,0.1,65.0,0.20588235294117646
0.2,0.1,66.0,0.19883040935672514
0.2,0.1,67.0,0.17894736842105263
0.2,0.1,68.0,0.16339869281045752
0.2,0.1,69.0,0.18181818181818182
0.2,0.1,70.0,0.1978021978021978
0.2,0.1,71.0,0.13333333333333333
0.2,0.1,72.0,0.15714285714285714
0.2,0.1,73.0,0.14285714285714285
0.2,0.1,74.0,0.07142857142857142
0.2,0.1,75.0,0.21794871794871795
0.2,0.1,76.0,0.027777777777777776
0.2,0.1,77.0,0.19523809523809524
0.2,0.1,78.0,0.18181818181818182
0.2,0.1,79.0,0.17777777777777778
0.2,0.1,80.0,0.13636363636363635
0.2,0.1,81.0,0.14102564102564102
0.2,0.1,82.0,0.17777777777777778
0.2,0.1,83.0,0.13333333333333333
0.2,0.1,84.0,0.10909090909090909
0.2,0.1,85.0,0.06666666666666667
0.2,0.1,86.0,0.15263157894736842
0.2,0.1,87.0,0.10909090909090909
0.2,0.1,88.0,0.16666666666666666
0.2,0.1,89.0,0.10606060606060606
0.2,0.1,90.0,0.13970588235294118
0.2,0.1,91.0,0.10989010989010989
0.2,0.1,92.0,0.3
0.2,0.1,93.0,0.17857142857142858
0.2,0.1,94.0,0.23809523809523808
0.2,0.1,95.0,0.14035087719298245
0.2,0.1,96.0,0.26666666666666666
0.2,0.1,97.0,0.10256410256410256
0.2,0.1,98.0,0.14102564102564102
0.2,0.1,99.0,0.1111111111111111
0.2,0.2,0.0,0.19047619047619047
0.2,0.2,1.0,0.18233618233618235
0.2,0.2,2.0,0.22794117647058823
0.2,0.2,3.0,0.12418300653594772
0.2,0.2,4.0,0.19927536231884058
0.2,0.2,5.0,0.175
0.2,0.2,6.0,0.2123076923076923
0.2,0.2,7.0,0.21568627450980393
0.2,0.2,8.0,0.2
0.2,0.2,9.0,0.17647058823529413
0.2,0.2,10.0,0.21904761904761905
0.2,0.2,11.0,0.17543859649122806
0.2,0.2,12.0,0.175
0.2,0.2,13.0,0.18181818181818182
0.2,0.2,14.0,0.25
0.2,0.2,15.0,0.20261437908496732
0.2,0.2,16.0,0.19166666666666668
0.2,0.2,17.0,0.2
0.2,0.2,18.0,0.22058823529411764
0.2,0.2,19.0,0.16176470588235295
0.2,0.2,20.0,0.20476190476190476
0.2,0.2,21.0,0.2
0.2,0.2,22.0,0.1895424836601307
0.2,0.2,23.0,0.19943019943019943
0.2,0.2,24.0,0.2077922077922078
0.2,0.2,25.0,0.2
0.2,0.2,26.0,0.21904761904761905
0.2,0.2,27.0,0.19883040935672514
0.2,0.2,28.0,0.21666666666666667
0.2,0.2,29.0,0.16339869281045752
0.2,0.2,30.0,0.20652173913043478
0.2,0.2,31.0,0.24183006535947713
0.2,0.2,32.0,0.19927536231884058
0.2,0.2,33.0,0.19384615384615383
0.2,0.2,34.0,0.16842105263157894
0.2,0.2,35.0,0.20915032679738563
0.2,0.2,36.0,0.20476190476190476
0.2,0.2,37.0,0.1111111111111111
0.2,0.2,38.0,0.20588235294117646
0.2,0.2,39.0,0.2564102564102564
0.2,0.2,40.0,0.21904761904761905
0.2,0.2,41.0,0.15666666666666668
0.2,0.2,42.0,0.175
0.2,0.2,43.0,0.19367588932806323
0.2,0.2,44.0,0.2044334975369458
0.2,0.2,45.0,0.2222222222222222
0.2,0.2,46.0,0.20948616600790515
0.2,0.2,47.0,0.21666666666666667
0.2,0.2,48.0,0.20346320346320346
0.2,0.2,49.0,0.1619047619047619
0.2,0.2,50.0,0.23529411764705882
0.2,0.2,51.0,0.16666666666666666
0.2,0.2,52.0,0.175
0.2,0.2,53.0,0.3333333333333333
0.2,0.2,54.0,0.21921182266009853
0.2,0.2,55.0,0.20833333333333334
0.2,0.2,56.0,0.23333333333333334
0.2,0.2,57.0,0.18478260869565216
0.2,0.2,58.0,0.21904761904761905
0.2,0.2,59.0,0.1895424836601307
0.2,0.2,60.0,0.20476190476190476
0.2,0.2,61.0,0.19047619047619047
0.2,0.2,62.0,0.1736842105263158
0.2,0.2,63.0,0.19607843137254902
0.2,0.2,64.0,0.125
0.2,0.2,65.0,0.2427536231884058
0.2,0.2,66.0,0.24285714285714285
0.2,0.2,67.0,0.21052631578947367
0.2,0.2,68.0,0.21052631578947367
0.2,0.2,69.0,0.2087912087912088
0.2,0.2,70.0,0.18382352941176472
0.2,0.2,71.0,0.2
0.2,0.2,72.0,0.2222222222222222
0.2,0.2,73.0,0.15714285714285714
0.2,0.2,74.0,0.23529411764705882
0.2,0.2,75.0,0.24242424242424243
0.2,0.2,76.0,0.15204678362573099
0.2,0.2,77.0,0.18181818181818182
0.2,0.2,78.0,0.2
0.2,0.2,79.0,0.1956521739130435
0.2,0.2,80.0,0.21428571428571427
0.2,0.2,81.0,0.1761904761904762
0.2,0.2,82.0,0.22857142857142856
0.2,0.2,83.0,0.20346320346320346
0.2,0.2,84.0,0.18333333333333332
0.2,0.2,85.0,0.22077922077922077
0.2,0.2,86.0,0.21052631578947367
0.2,0.2,87.0,0.16993464052287582
0.2,0.2,88.0,0.19473684210526315
0.2,0.2,89.0,0.21428571428571427
0.2,0.2,90.0,0.26373626373626374
0.2,0.2,91.0,0.21578947368421053
0.2,0.2,92.0,0.22077922077922077
0.2,0.2,93.0,0.18095238095238095
0.2,0.2,94.0,0.18571428571428572
0.2,0.2,95.0,0.19047619047619047
0.2,0.2,96.0,0.21666666666666667
0.2,0.2,97.0,0.20899470899470898
0.2,0.2,98.0,0.1736842105263158
0.2,0.2,99.0,0.2
0.3,0.1,0.0,0.2328042328042328
0.3,0.1,1.0,0.25517241379310346
0.3,0.1,2.0,0.23645320197044334
0.3,0.1,3.0,0.2717391304347826
0.3,0.1,4.0,0.27692307692307694
0.3,0.1,5.0,0.3181818181818182
0.3,0.1,6.0,0.2619047619047619
0.3,0.1,7.0,0.24761904761904763
0.3,0.1,8.0,0.16911764705882354
0.3,0.1,9.0,0.30303030303030304
0.3,0.1,10.0,0.2660098522167488
0.3,0.1,11.0,0.22792022792022792
0.3,0.1,12.0,0.24666666666666667
