"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"GEX000639","G","eosinophilia","2","null","Homo sapiens","GAD","126"
"GAX000651","A","Red blood cell (erythrocyte) in bone marrow's normal cell","2","29915358","Mus musculus","CellMarker","0.00"
