"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"GEX000597","G","dna damage|lung neoplasms","2","null","Homo sapiens","GAD","126"
"GEX001040","G","lung neoplasms","14","null","Homo sapiens","GAD","2.05"
