"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"MAX000127","A","Gene up regulated by CD40 [GeneID=958] signaling in Ramos cells (EBV negative Burkitt lymphoma).","99","null","Homo sapiens","MSigDB","231"
"MAX000126","A","Gene down regulated by CD40 [GeneID=958] signaling in Ramos cells (EBV negative Burkitt lymphoma).","64","null","Homo sapiens","MSigDB","13.1"
